date,AAPL,AMZN,BAC,CBF,DIS,FB,FL,GE,GM,GOOGL,IBM,MCD,MSFT,NFLX,NKE,NVDA,SBUX,TSLA,TSN,TWTR,TWX,UA,WWE,BTC,ETH,XRP
2017-05-19,152.34188069275,959.84,22.858201952615,37.282727985367,106.71460674157,148.06,57.775215012294,27.543057770198,32.032108817056,954.65,148.90648308041,146.37924465211,66.992286485551,157.02,51.417182555585,135.8829388257,60.75844640266,310.83,58.124191445161,18.35,96.473561183015,17.86,19.442111277587,1970.0,125.79,0.318
2017-05-22,153.36771840924,970.7,22.84828516218,37.482100862294,106.82378277154,148.24,59.300276035269,27.670708305318,32.227904103224,964.07,149.5531357902,146.41876655414,67.744452798582,157.16,51.218545574493,138.78044266831,60.62972088062,310.35,58.005084495478,18.43,96.740363001303,17.92,19.58055967936,1981.9,137.0,0.28001
2017-05-23,153.17848620911,971.54,23.195372827404,37.731316958453,106.21835205993,148.07,58.906711900307,27.768901024642,32.521597032476,970.55,148.95547192206,146.05318896034,67.972082077525,157.95,51.844252064932,136.91205225945,60.55050517475,303.86,57.985233337198,18.15,97.066454112543,18.04,19.541002993139,2228.0,167.02,0.3209
2017-05-24,152.72034509301,980.35,23.165622456099,37.482100862294,106.9031835206,150.04,58.670573419331,27.327033787687,32.502017503859,977.61,149.42576480191,147.7131088457,68.061154404068,157.75,51.655546932895,138.4507267138,61.283250454052,310.22,57.995158916338,17.98,97.234440442576,18.11,19.531113821584,2379.6,188.24,0.29187
2017-05-25,153.24820333547,993.38,23.056537761314,37.531944081526,106.46647940075,151.96,58.700090729453,26.993178541987,31.914631645355,991.86,150.10181081668,147.98976215992,68.902393043641,163.05,51.99322980075,138.14099354442,62.283348740667,316.83,57.667614804711,17.95,98.192950678646,18.01,19.689340566468,2377.0,177.09,0.25162
2017-05-26,152.98925400898,995.78,23.046620970879,37.282727985367,107.59794007491,152.13,58.857516383437,26.953901454258,32.37475056785,993.27,149.40616926524,148.06880596399,69.248785424642,162.43,52.231594178061,141.71791208116,62.679427270019,325.14,57.905828704076,18.23,98.294730631549,18.07,19.689340566468,2113.2,152.68,0.25375
2017-05-30,153.04901154586,996.7,22.719366886525,37.08335510844,107.52846441948,152.38,58.700090729453,26.865528006867,32.825079726036,996.17,148.66153887216,148.13796929254,69.684250132186,163.22,52.559345196862,144.74530402705,62.62991745385,335.1,57.732131069122,18.43,98.165747942722,18.01,19.808010625131,2106.0,220.08,0.19819
2017-05-31,152.14268890314,994.62,22.297903293039,36.983668669976,107.13146067416,151.46,58.454113145102,26.885166550732,33.216670298371,987.09,149.54333802187,149.08649494132,69.120125397413,163.07,52.628868140244,144.22575161389,62.986388130267,341.01,57.134283664195,18.32,98.711443933913,17.83,20.18379914423,2195.6,218.65,0.23316
2017-06-01,152.56099166132,995.95,22.516802834514,37.681473739221,107.39943820225,151.53,58.404917628232,27.219021796431,33.706158513791,988.29,149.58252909519,151.49733096529,69.377445451871,162.99,52.12234383846,144.12573777436,63.125015615541,340.37,58.270193733557,18.53,98.919800585095,18.39,20.678257721991,2287.8,212.3,0.31699
2017-06-02,154.82181847338,1006.73,22.337703209671,37.232884766135,106.37715355805,153.61,57.10615598286,27.376130147348,33.725738042408,996.12,148.97506745872,152.8394229451,71.020335030332,165.18,52.800033968673,143.51636274208,63.936976600713,339.85,57.682310452045,18.31,98.403869829787,18.72,20.470585119331,2390.0,215.86,0.2904
2017-06-05,153.30796087235,1011.34,22.297903293039,37.282727985367,105.72209737828,153.63,56.673235434403,27.474322866672,33.735527806716,1003.88,149.3277871186,151.8949878482,71.534975139247,165.06,52.829932062653,147.88260129112,63.639917703699,347.32,58.060947141832,18.23,98.919800585095,18.95,20.361804232224,2618.91043963,242.77,0.28471
2017-06-06,153.82585952534,1002.97,22.118803668195,36.834139012281,104.70973782772,152.81,54.193781384148,27.42522650701,33.706158513791,996.68,149.28859604528,150.34412600486,71.772501343362,165.17,52.30173240234,147.21317798955,63.530996108127,352.85,59.157000717532,17.57,98.721365679208,18.97,20.22335583045,2828.7,259.99,0.27937
2017-06-07,154.74214175754,1010.07,22.48695289704,37.282727985367,105.1265917603,153.12,54.400402555002,27.179744708702,33.990061678734,1001.59,147.9267062474,151.04996697202,71.643841316133,165.61,53.04918475184,148.99164586536,62.877466534695,359.65,60.253054293231,17.44,98.562617754497,19.22,20.20357748734,2674.8,250.12,0.27244
2017-06-08,154.36367735728,1009.94,22.855102125886,38.279592370003,103.53857677903,154.71,53.013088979264,27.091371261311,33.762405470636,1004.28,149.02405630037,150.54295444631,71.203428146004,165.88,53.01928665786,159.81432228712,61.629819167235,370.0,60.302874910309,17.59,98.126060961544,19.6,20.332136717558,2775.6,256.21,0.28562
2017-06-09,148.37796407954,978.31,23.551600666945,39.176770316175,104.82883895131,149.63,53.898608282927,27.435045778942,33.990061678734,970.12,150.98360996639,150.59266155668,69.595177805643,158.03,53.278403472353,149.47123270827,61.580309351066,357.32,60.532049748864,16.9,98.413791575081,20.21,20.173909972674,2808.6,278.12,0.28274
2017-06-12,144.7327543297,964.83,23.661050437682,39.126927096943,106.23820224719,148.44,53.977321109919,28.416972972176,34.32659694288,961.81,152.04176894603,147.60029351281,69.060743846385,151.44,53.846467257973,149.84091423302,60.689132660023,359.01,61.050184166467,17.04,99.167844217455,21.2,20.539809320218,2543.8,367.52,0.237
2017-06-13,145.99762219371,980.79,23.651100458524,38.578651685393,105.76179775281,150.68,54.213459590896,27.935828647492,34.158329310807,970.5,151.13057649134,148.94238549262,69.921776336301,152.72,54.12551613512,151.2696833692,60.322760020372,375.95,62.156201865582,16.97,98.423713320376,21.25,20.806816952209,2681.0,376.98,0.25739
2017-06-14,144.57340089801,976.47,23.641150479366,38.728181343089,105.34494382022,150.25,52.90485884215,28.171491173868,34.25731027085,967.93,150.69947468481,149.79734779086,69.545693179786,152.2,54.474327231553,151.58940793114,59.679132410175,380.66,62.285735469983,16.76,98.364182848609,21.09,20.597953110911,2374.2,330.44,0.25297
2017-06-15,143.70691661321,964.17,23.422250937891,38.429122027698,105.1861423221,149.8,51.979983124991,28.652635498552,34.247412174846,960.18,151.10118318635,150.28447747242,69.179506948442,151.76,52.72030571806,152.23884844759,59.500897071966,375.34,61.737708682133,16.83,98.344339358021,20.33,20.737195671776,2385.2,337.07,0.24362
2017-06-16,141.69507953817,987.71,23.312801167153,38.080219493076,104.71966292135,150.64,51.202693958443,28.712039718659,33.940571198713,958.62,152.23772431264,151.09967408238,69.278476200157,152.38,50.92642007926,151.48949400553,59.550406888135,371.4,61.388964362593,16.67,98.423713320376,19.68,20.796871055005,2423.7,345.05,0.24398
2017-06-19,145.7486324567,995.17,23.790400166736,37.731316958453,104.58071161049,152.87,50.622186859376,28.514025651634,33.999959774739,975.22,151.70864482281,152.24293762074,70.139508690073,153.4,51.843294961313,157.18458776514,60.283944324496,369.8,61.339143745515,17.06,99.118235490983,19.67,20.588007213706,2568.0,354.4,0.26824
2017-06-20,144.4240070558,992.59,23.372501042101,37.482100862294,103.16142322097,152.25,49.520207281484,27.8506785271,34.04945025476,968.99,151.81642027444,153.1674898735,69.189403873614,152.05,51.384857520287,156.95478573624,59.273151917588,372.24,61.169753647453,16.91,98.741209169796,19.01,20.040982867448,2747.3,347.68,0.31225
2017-06-21,145.28053175112,1002.23,23.014301792414,37.08335510844,104.01498127341,153.91,47.050592334603,27.504153909806,33.782201662644,978.59,150.67987914815,152.82948152303,69.545693179786,155.03,52.411358746933,159.33273716569,59.372171549926,376.4,61.159789524037,17.78,98.473322046848,18.75,20.269738503156,2601.1,307.76,0.26369
2017-06-22,145.04150160359,1001.3,22.815302209254,37.08335510844,103.4393258427,153.4,46.735741026634,27.276437732727,33.84159023867,976.62,151.27754301629,153.8932136848,69.535796254614,154.89,52.222004151727,158.23368398401,58.926583204405,382.61,61.498569720163,18.15,98.622148226264,19.24,20.100658250676,2675.0,318.51,0.2754
2017-06-23,145.75859204618,1003.74,22.705852438516,37.183041546904,103.57827715356,155.07,47.257213505458,27.296239139429,33.851488334674,986.09,150.99340773472,153.73415093164,70.476004145902,158.03,52.670475561427,153.97735075315,59.223642101419,383.45,62.564730925616,18.5,98.919800585095,19.65,20.29957619477,2692.1,325.98,0.29179
2017-06-26,145.23073380372,993.98,22.775502292622,37.382414423831,104.77921348315,153.59,47.591743020175,27.335841952834,34.168227406811,972.09,152.09075778768,153.0581342307,69.803013234243,157.5,53.099014908473,152.01903781125,59.055308726445,377.49,62.53483855537,18.29,99.038861528628,19.92,20.528331830478,2397.5,246.51,0.2429
