,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU,FEZ,FXI,GDX,GLD,IAU,IBB,ITB,IVV,IWD,IWM,IYR,KBE,KRE,LQD,OIL,SDS,SH,SLV,SPY,USO,VGK,VNQ,VTI,VWO,XHB,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,USDOLLAR
2007-01-02,99.910,23.800,65.660,124.470,55.280,38.340,73.510,27.150,16.160,33.420,14.730,47.100,51.700,48.730,46.700,51.950,54.650,38.760,38.430,62.280,6.230,77.640,41.180,141.620,82.380,78.160,83.870,58.630,50.580,106.450,36.380,233.600,62.410,12.560,141.370,49.400,68.500,77.120,69.980,38.950,36.500,34.610,56.580,36.920,35.230,23.330,26.290,36.820,33.500,38.520,47.660,36.640,10001.976
2007-01-03,99.910,23.800,65.660,124.470,55.280,38.340,73.510,27.150,16.160,33.420,14.730,47.100,51.700,48.730,46.700,51.950,54.650,38.760,38.430,62.280,6.230,77.640,41.180,141.620,82.380,78.160,83.870,58.630,50.580,106.450,36.380,233.600,62.410,12.560,141.370,49.400,68.500,77.120,69.980,38.950,36.500,34.610,56.580,36.920,35.230,23.330,26.290,36.820,33.500,38.520,47.660,36.640,10003.944
2007-01-04,100.120,23.180,65.600,124.680,55.950,37.810,73.320,27.060,15.990,33.340,14.780,47.000,51.250,48.190,46.100,51.750,54.620,37.400,37.720,61.650,6.180,78.840,40.790,142.000,82.190,78.370,83.850,58.610,50.750,107.250,34.880,232.720,62.300,12.580,141.670,47.350,68.370,77.220,70.120,38.520,36.310,34.450,55.550,36.800,35.080,23.690,26.330,36.770,33.880,38.510,47.420,36.160,10005.909
2007-01-05,100.050,23.200,65.020,123.740,54.780,36.710,72.200,26.610,15.870,32.910,14.410,46.100,50.050,47.030,44.470,51.120,53.670,35.280,37.210,60.170,6.020,78.850,40.380,140.910,81.540,76.730,82.550,58.020,49.700,107.190,35.130,236.160,62.680,12.180,140.540,47.830,67.500,75.790,69.560,37.450,35.980,34.220,55.920,36.490,34.960,23.500,26.140,36.110,33.690,38.250,47.010,36.500,10007.878
2007-01-08,100.110,23.220,65.260,124.140,54.860,36.970,72.300,26.530,16.270,32.950,14.360,46.300,50.380,47.120,45.100,51.200,53.700,36.310,37.300,60.480,6.050,78.960,39.540,141.500,81.820,76.430,82.530,58.170,49.720,107.150,35.100,234.880,62.580,12.220,141.190,47.490,67.270,75.900,69.820,37.860,35.480,34.220,55.920,36.670,35.090,23.570,26.180,36.090,33.730,38.310,47.490,36.660,10009.860
2007-01-09,100.110,23.020,65.250,124.070,55.250,36.150,72.370,26.650,16.230,32.930,14.210,46.000,49.000,46.600,43.950,51.100,53.570,34.700,37.050,60.850,6.090,78.910,39.610,141.380,81.590,77.150,83.500,58.050,49.500,107.170,34.890,235.000,62.590,12.420,141.070,47.300,67.020,76.860,69.820,36.960,35.680,34.230,55.440,36.610,35.070,23.600,26.240,36.120,33.690,38.520,46.950,36.280,10011.842
2007-01-10,100.000,22.680,64.890,124.430,54.260,36.060,71.820,26.360,16.080,32.580,14.180,45.880,49.500,46.450,44.270,50.680,52.990,34.020,36.610,60.590,6.070,79.250,39.630,141.760,81.700,77.750,84.830,58.130,49.520,107.030,33.440,234.120,62.530,12.370,141.540,45.280,66.660,77.850,69.970,36.850,35.780,34.470,54.370,36.730,35.190,23.720,26.350,36.130,33.750,38.720,47.510,35.600,10013.828
2007-01-11,99.810,22.650,64.870,124.990,54.170,36.520,72.280,26.600,16.120,32.790,14.150,46.500,50.100,46.810,44.670,51.010,53.570,34.300,36.930,60.630,6.080,80.150,40.180,142.500,81.970,78.230,85.800,58.190,49.910,106.700,32.700,231.080,62.130,12.290,142.160,44.340,67.650,78.860,70.500,37.340,36.360,34.840,54.060,36.960,35.480,23.960,26.550,36.170,34.120,39.150,47.940,35.420,10015.823
2007-01-12,99.670,23.180,65.560,125.660,54.830,37.260,73.100,26.880,16.280,33.160,14.460,46.940,50.350,47.860,45.500,51.540,53.960,35.100,37.900,62.170,6.220,81.340,40.440,143.570,82.600,78.980,86.100,58.220,49.940,106.590,32.960,228.720,61.800,12.780,143.240,44.630,68.050,79.110,70.960,37.880,36.560,35.230,55.440,37.000,35.580,24.020,26.510,35.870,34.280,39.260,48.990,36.590,10017.810
2007-01-16,99.820,22.650,65.760,125.700,54.870,37.400,73.010,27.030,16.480,33.140,14.420,46.940,50.600,48.010,44.950,51.380,53.820,35.760,37.520,61.970,6.220,81.300,40.290,143.280,82.450,78.450,87.090,58.200,49.480,106.700,32.030,229.280,61.880,12.540,142.960,43.400,68.240,80.240,70.830,37.900,36.440,35.320,54.870,37.100,35.770,23.970,26.530,35.980,34.360,39.400,48.180,36.210,10019.806
