Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU,FEZ,FXI,GDX,GLD,IAU,IBB,ITB,IVV,IWD,IWM,IYR,KBE,KRE,LQD,OIL,SDS,SH,SLV,SPY,USO,VGK,VNQ,VTI,VWO,XHB,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,USDOLLAR
2007-01-03,471000,746700,30000,11226200,14400,38089800,12071400,585300,6217000,76900,8805400,290300,2470600,2045700,5832100,254400,147200,11064300,948500,7882100,2761000,1407500,190800,1974400,3348500,50762800,2644200,116600,423600,1597400,257400,132325,60200,7433000,89183100,3207500,633400,495700,794000,1158200,2160000,3646100,47169000,7602400,2992400,4738600,2044900,4215500,1805900,1993500,153500,269900,0
2007-01-04,1745300,428900,22200,10032600,8200,25987701,8637400,271300,4335600,36300,4194900,746900,1886800,1755100,4472400,639800,94300,9768201,680000,4697900,1560000,1566100,64000,4031600,1481800,44695400,2159900,13700,189900,110100,207000,126150,23200,3046000,66119200,4411400,295800,166100,1832800,1115600,1892100,4457400,50566000,5318800,1705200,2882700,844300,2953400,1658500,1336600,159200,253900,0
2007-01-05,315900,356700,16100,9078300,109300,32607201,8736200,913700,4074800,110900,3824700,385800,2690100,747100,7842200,499800,83900,14559501,1865300,10677500,3851000,1061600,128000,1219400,1762800,53354200,1915900,18100,1188300,100900,119600,158675,50800,9363000,68523700,3594100,221000,143300,380200,1142600,1111500,6980900,37943200,6424200,3408100,1630700,1355800,3774300,1528100,1013200,39200,175700,0
2007-01-08,280000,275000,11100,7840600,6900,22814400,6511900,578900,3115600,112800,2301700,323800,1514900,851300,6737700,265400,100300,8185899,943600,3377500,2201000,472400,356800,641400,698200,43275200,1168400,11600,205800,119600,234500,111200,26900,2799000,66209700,3902100,360200,87000,289400,495400,1284000,3320700,30695100,3555400,1656100,1758700,959400,2401300,1602100,3112400,21300,118600,0
2007-01-09,361300,675600,10200,7330200,25100,42375699,8502600,390800,3611800,49100,2619500,239000,4338900,975600,6795800,293000,41400,12944700,742600,4010300,1607000,971900,288700,983300,1473900,62577000,1635000,95100,944100,127200,183400,111975,55600,3093000,69505500,3920700,624300,92300,266000,934200,2044700,3850900,36799900,4146900,1043200,3442200,2437200,2341600,933100,1143100,53300,46800,0
2007-01-10,697900,285900,13800,8792700,4700,57795201,5259400,776700,2571700,62200,4041900,287800,4546900,1425600,8586500,246600,106200,18732999,622700,3625800,1574000,1003300,123100,1290600,732000,45857400,2513300,35100,724100,66500,202600,102075,56300,3064000,67530600,6281300,199200,135300,358800,839200,574400,4334400,37777300,2792600,2762400,2658300,991000,1891700,526300,1015600,47200,418000,0
2007-01-11,441900,484600,30000,6795900,3900,46899999,4452400,879600,2481700,88300,5539300,429800,2896100,1774000,7975900,605200,88500,10539900,1031400,4392700,1252000,1023500,122000,606900,835600,46921400,2888900,134000,324800,71400,321800,109350,36700,2557000,49424300,8716000,212400,133400,346600,1134600,891600,3634200,48206500,3682700,2732600,3553500,1818000,4471600,2992900,667600,128400,22700,0
2007-01-12,242400,324300,15000,6209400,15600,25133301,6086500,427100,3310800,44100,2035000,273300,3119800,533000,4881600,302600,102600,6236301,682900,5038600,1934000,1170400,29300,610200,1067300,24746600,1341800,12200,29600,84100,318900,92850,13600,4090000,50976800,9410400,232700,186400,352000,448000,173000,3151500,31543100,6474700,1256400,3060400,1327600,10150100,1288900,843900,7400,267700,0
2007-01-16,448700,467700,39900,6928200,13900,25737801,6451200,358200,3148400,39700,2882500,430900,2042600,804800,3868400,422000,46700,8603901,469900,3090900,1372000,1582800,162300,798000,1119900,30446500,2327200,175900,1503700,205200,355900,67875,15000,2351000,42979300,9119100,327900,161000,390000,1021800,892800,2064600,31278000,4318300,1560500,1556300,1941700,4051000,651000,889300,18500,99500,0
2007-01-17,258700,291200,41900,8541000,4400,18352599,3757800,436800,3621800,173200,3259500,210500,1866500,809500,3514900,365000,35900,5695800,698700,4308100,2385000,1134000,251400,1400700,1411400,26199700,2153400,159600,674000,100400,1230700,68100,25600,4727000,46703100,11074700,158000,120000,334000,1346400,1168000,3212900,35655300,3994000,1654100,1511500,1573200,1711600,2824100,837000,9500,16000,0
